2000:678:d64:4663::,2000:678:d64:4663:ffff:ffff:ffff:ffff,NL
2001:2::,2001:2::ffff:ffff:ffff:ffff:ffff,US
2001:10::,2001:1f:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:200::,2001:200:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:208::,2001:208:ffff:ffff:ffff:ffff:ffff:ffff,SG
2001:218::,2001:218:4000:5:ffff:ffff:ffff:ffff,JP
2001:218:4000:6::,2001:218:4000:6:ffff:ffff:ffff:ffff,SG
2001:218:4000:7::,2001:218:6000:1:ffff:ffff:ffff:ffff,JP
2001:218:6000:2::,2001:218:6000:2:ffff:ffff:ffff:ffff,HK
2001:218:6000:3::,2001:218:6001:ffff:ffff:ffff:ffff:ffff,JP
2001:218:6002::,2001:218:6002:ffff:ffff:ffff:ffff:ffff,HK
2001:218:6003::,2001:218:8000:3:ffff:ffff:ffff:ffff,JP
2001:218:8000:4::,2001:218:8000:4:ffff:ffff:ffff:ffff,TH
2001:218:8000:5::,2001:218:a000:52ff:ffff:ffff:ffff:ffff,JP
2001:218:a000:5300::,2001:218:a000:5300:ffff:ffff:ffff:ffff,KR
2001:218:a000:5301::,2001:218:afff:ffff:ffff:ffff:ffff:ffff,JP
2001:218:b000::,2001:218:b000::ffff:ffff:ffff:ffff,TH
2001:218:b000:1::,2001:218:c000:9:ffff:ffff:ffff:ffff,JP
2001:218:c000:a::,2001:218:c000:a:ffff:ffff:ffff:ffff,AU
2001:218:c000:b::,2001:218:c000:b:ffff:ffff:ffff:ffff,JP
2001:218:c000:c::,2001:218:c000:c:ffff:ffff:ffff:ffff,AU
2001:218:c000:d::,2001:218:e000:2:ffff:ffff:ffff:ffff,JP
2001:218:e000:3::,2001:218:e000:3:ffff:ffff:ffff:ffff,MY
2001:218:e000:4::,2001:218:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:220::,2001:220:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:230::,2001:230:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:240::,2001:240:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:250::,2001:256:ffff:ffff:ffff:ffff:ffff:ffff,CN
2001:258::,2001:258:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:260::,2001:260:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:268::,2001:268:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:270::,2001:270:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:278::,2001:278:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:280::,2001:280:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:288::,2001:288:ffff:ffff:ffff:ffff:ffff:ffff,TW
2001:290::,2001:290:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:298::,2001:298:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2a0::,2001:2a0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2a8::,2001:2a8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2b0::,2001:2b0:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:2b8::,2001:2b9:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:2c0::,2001:2c0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2c8::,2001:2c8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2d8::,2001:2d8:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:2e0::,2001:2e0:ffff:ffff:ffff:ffff:ffff:ffff,HK
2001:2e8::,2001:2e8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2f0::,2001:2f0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2f8::,2001:2f8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:300::,2001:300:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:308::,2001:308:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:310::,2001:310:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:318::,2001:318:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:320::,2001:320:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:330::,2001:330:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:338::,2001:338:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:340::,2001:340:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:348::,2001:348:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:350::,2001:350:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:358::,2001:358:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:360::,2001:360:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:368::,2001:368:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:370::,2001:370:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:378::,2001:378:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:380::,2001:380:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:388::,2001:388:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:390::,2001:390:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:398::,2001:398:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3a0::,2001:3a0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3a8::,2001:3a8:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:3b0::,2001:3b0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3b8::,2001:3b8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3c0::,2001:3c0:1fff:ffff:ffff:ffff:ffff:ffff,JP
2001:3c8::,2001:3c8:ffff:ffff:ffff:ffff:ffff:ffff,TH
2001:3d0::,2001:3d0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3d8::,2001:3d8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3e0::,2001:3e0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3e8::,2001:3e8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:400::,2001:400:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:408::,2001:408:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:410::,2001:410:ffff:ffff:ffff:ffff:ffff:ffff,CA
2001:418::,2001:418:1401:4f:ffff:ffff:ffff:ffff,US
2001:418:1401:50::,2001:418:1401:50:ffff:ffff:ffff:ffff,CA
2001:418:1401:51::,2001:418:1439::29f,US
2001:418:1439::2a0,2001:418:1439::2a0,CA
2001:418:1439::2a1,2001:418:149a:ffff:ffff:ffff:ffff:ffff,US
2001:418:149b::,2001:418:149b:ffff:ffff:ffff:ffff:ffff,HK
2001:418:149c::,2001:418:149c:ffff:ffff:ffff:ffff:ffff,SG
2001:418:149d::,2001:418:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:420::,2001:420:3fff:ffff:ffff:ffff:ffff:ffff,US
2001:420:4000::,2001:420:447f:ffff:ffff:ffff:ffff:ffff,JP
2001:420:4480::,2001:420:4487:ffff:ffff:ffff:ffff:ffff,IL
2001:420:4488::,2001:420:4fff:ffff:ffff:ffff:ffff:ffff,JP
2001:420:5000::,2001:420:51ff:ffff:ffff:ffff:ffff:ffff,AU
2001:420:5200::,2001:420:5bff:ffff:ffff:ffff:ffff:ffff,JP
2001:420:5c00::,2001:420:5dff:ffff:ffff:ffff:ffff:ffff,SG
2001:420:5e00::,2001:420:7fff:ffff:ffff:ffff:ffff:ffff,JP
2001:420:8000::,2001:420:c0bf:ffff:ffff:ffff:ffff:ffff,US
2001:420:c0c0::,2001:420:c0c3:ffff:ffff:ffff:ffff:ffff,NL
2001:420:c0c4::,2001:420:c0cf:ffff:ffff:ffff:ffff:ffff,US
2001:420:c0d0::,2001:420:c0d3:ffff:ffff:ffff:ffff:ffff,AU
2001:420:c0d4::,2001:420:c0d7:ffff:ffff:ffff:ffff:ffff,SG
2001:420:c0d8::,2001:420:c0df:ffff:ffff:ffff:ffff:ffff,JP
2001:420:c0e0::,2001:420:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:428::,2001:428:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:430::,2001:430:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:438::,2001:438:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:440::,2001:440:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:450::,2001:450:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:458::,2001:458:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:460::,2001:460:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:468::,2001:468:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:470::,2001:470:308:ffff:ffff:ffff:ffff:ffff,US
2001:470:309::,2001:470:309:ffff:ffff:ffff:ffff:ffff,JP
2001:470:30a::,2001:470:19c5:ffff:ffff:ffff:ffff:ffff,US
2001:470:19c6::,2001:470:19c6:ffff:ffff:ffff:ffff:ffff,GB
2001:470:19c7::,2001:470:2005:ffff:ffff:ffff:ffff:ffff,US
2001:470:2006::,2001:470:2006:ffff:ffff:ffff:ffff:ffff,UA
2001:470:2007::,2001:470:2034:ffff:ffff:ffff:ffff:ffff,US
